dM,dP,dS,dO,target
325,-76.75,104.25,0,0.3333333333333333
725,236.25,-42.75,0,0.6666666666666666
25,140,49.25,-225,1
-1075,-62,-257.75,-225,0
325,-313,139.25,-225,0.3333333333333333
725,235,69.25,675,0.6666666666666666
25,90.5,-8.5,0,1
-1075,-108.5,-217.5,0,0
325,-137.5,-73.5,0,0.3333333333333333
725,155.5,299.5,0,0.6666666666666666
25,121.25,-24.5,-125,1
-1075,39.25,-287.5,-125,0
325,-332.75,-49.5,375,0.3333333333333333
725,172.25,361.5,-125,0.6666666666666666
-50,72,-38.5,75,1
-1050,-249,-268.5,-325,0
350,176,-70.5,175,0.3333333333333333
750,1,377.5,75,0.6666666666666666
-50,180,55.75,250,1
-1050,-28,-328.25,-250,0
350,-274,-3.25,250,0.3333333333333333
750,122,275.75,-250,0.6666666666666666
75,181,27.5,275,1
-925,90,-316.5,-225,0
-25,-285,7.5,175,0.3333333333333333
875,14,281.5,-225,0.6666666666666666
75,212.25,6,-100,1
-925,-221.75,-361,-100,0
-25,-243.75,0,-100,0.3333333333333333
875,253.25,355,300,0.6666666666666666
75,-66.5,69.25,0,1
-925,-59.5,-234.75,0,0
-25,-78.5,-39.75,0,0.3333333333333333
875,204.5,205.25,0,0.6666666666666666
75,29.25,31.75,0,1
-925,-162.75,-278.25,0,0
-25,-181.75,79.75,0,0.3333333333333333
875,315.25,166.75,0,0.6666666666666666
75,154,-128,0,1
-925,-58,-264,0,0
-25,-285,180,0,0.3333333333333333
875,189,212,0,0.6666666666666666
-75,-17.25,17.75,0,1
-575,9.75,-261.25,0,0
325,-220.25,44.75,0,0.3333333333333333
325,227.75,198.75,0,0.6666666666666666
-75,92,-27,0,1
-575,-100,-221,0,0
325,-119,115,0,0.3333333333333333
325,127,133,0,0.6666666666666666
-75,92.75,-17.5,0,1
-575,-104.25,-240.5,0,0
325,-109.25,136.5,0,0.3333333333333333
325,120.75,121.5,0,0.6666666666666666
-75,87.25,-68.25,0,1
-575,-104.75,-210.25,0,0
325,-104.75,95.75,0,0.3333333333333333
325,122.25,182.75,0,0.6666666666666666
-75,81,-24.25,0,1
-575,-115,-247.25,0,0
325,-116,114.75,0,0.3333333333333333
325,150,156.75,0,0.6666666666666666
-75,-140.25,35.25,0,1
-575,-113.25,-214.75,0,0
325,110.75,91.25,0,0.3333333333333333
325,142.75,88.25,0,0.6666666666666666
-75,138.75,96,0,1
-575,-56.25,-281,0,0
325,-64.25,121,0,0.3333333333333333
325,-18.25,64,0,0.6666666666666666
-75,134.25,28.5,0,1
-575,-55.75,-216.5,0,0
325,-61.75,49.5,0,0.3333333333333333
325,-16.75,138.5,0,0.6666666666666666
-75,424.5,27.75,0,1
-575,-226.5,-303.25,0,0
325,-8.5,74.75,0,0.3333333333333333
325,-189.5,200.75,0,0.6666666666666666
-75,134.25,28.5,0,1
-575,-55.75,-216.5,0,0
325,-61.75,49.5,0,0.3333333333333333
325,-16.75,138.5,0,0.6666666666666666
-75,312.75,37,0,1
-575,-113.25,-315,0,0
325,-123.25,77,0,0.3333333333333333
325,-76.25,201,0,0.6666666666666666
-75,146,25.5,0,1
-575,-60,-264.5,0,0
325,-62,90.5,0,0.3333333333333333
325,-24,148.5,0,0.6666666666666666
